oficio4_08,nombre,n,n_h,n_m,gap_ajustado_pct,p_valor,p_fdr,significativo,sig_fdr,brecha_cruda_pct
6114,Agricultores y trabajadores calificados de cultivos mixtos,301,232,69,-35.594394003166826,8.225569337438898e-06,8.10835241906449e-05,True,True,-47.580807518919876
9312,Obreros de obras públicas,593,573,20,-35.5738526165287,0.21299402729042338,0.3230710292731687,False,False,-32.183193539973296
5211,Vendedores en quioscos o puestos de feria,2686,905,1781,-35.42481001391917,0.0,0.0,True,True,-34.67299216317647
4120,Secretarios generales,695,38,657,-34.513158275783915,0.006580672749754157,0.023920223169741305,True,True,-41.19851822557518
6111,Agricultores y trabajadores calificados de cultivos extensivos,1504,1243,261,-34.22644757100443,3.0370589776396173e-07,4.346790661746702e-06,True,True,-40.86548641411034
5221,"Comerciantes y dueños - operadores de locales comerciales, tiendas, almacenes y mercados",4711,1941,2770,-33.8726005839077,0.0,0.0,True,True,-33.264339550164024
5141,Peluqueros,1123,322,801,-33.20603633429406,2.7600823848672462e-09,5.745989692132721e-08,True,True,-30.957653828559273
6222,Pescadores en agua dulce y en aguas costeras,590,567,23,-32.93612649692835,0.037049299189590545,0.08837801577516911,True,False,-40.83828564128502
8157,Operadores de máquinas de lavanderías,142,37,105,-31.380003239780585,0.0005672494780666337,0.0033307725763399776,True,True,-18.580529456850613
3251,Técnicos y auxiliares paramédicos en odontología,344,24,320,-30.799753119835604,0.048922105197360954,0.10983492245289862,True,False,-46.487800514982105
2353,Otros profesores de idiomas,73,25,48,-30.261571966061773,0.11988223668250897,0.2161656078763351,False,False,-17.873860302949684
2355,otros profesores de artes,72,20,52,-29.842748382213426,0.1475190753720017,0.2521034944790178,False,False,-26.85022032083181
9216,Obreros de pesca y acuicultura,600,411,189,-29.0687356658079,1.0136002319249826e-05,9.284578124432841e-05,True,True,-25.75155480389215
2245,Dietistas y nutricionistas,245,22,223,-29.032566525711157,0.0043944833978533104,0.018114837241404072,True,True,-33.11068388839631
3312,Ejecutivos de préstamos y créditos,277,104,173,-28.948234786747783,0.00023500915055540972,0.0015674702595129628,True,True,-31.923726940590125
2163,Diseñadores de productos y de vestuario,115,35,80,-28.407246063801118,0.03660781589897222,0.08824410358804881,True,False,-33.19739980912475
2659,Otros artistas creativos e interpretativos no clasificados previamente,72,42,30,-28.14844383694217,0.056512404499059476,0.11982722805819093,False,False,-25.994072675078794
7522,Ebanistas y mueblistas,706,656,50,-28.05188653618481,0.020856558109053625,0.06045761780978835,True,False,-22.887817340631322
2513,Desarrolladores web y multimedia,98,78,20,-27.10262690668639,0.11496439410356163,0.21231327620738397,False,False,-28.199829413843936
5164,Cuidadores de animales,263,165,98,-27.090231757904714,0.016391006544118403,0.04938869077109361,True,True,-7.224274216346727
7233,Mecánicos y reparadores de máquinas agrícolas e industriales,1349,1316,33,-26.76481469401718,0.06420259894526348,0.13245401043662464,False,False,-24.909772690746546
1345,"Directores, gerentes y administradores de servicios de educación",387,135,252,-26.661260899525473,3.4002965001445062e-06,4.0982520975425894e-05,True,True,-30.231543254871816
1439,"Directores, gerentes y administradores de otros servicios no clasificados previamente",463,307,156,-25.930719399659342,0.004414722008019734,0.018114837241404072,True,True,-36.89522081534089
5244,Vendedores por internet y otros medios de comunicación,688,144,544,-25.464392753321963,0.2394024987272907,0.35143059108044594,False,False,-41.462982117836454
7543,"Clasificadores, probadores de productos e inspectores de calidad (excluyendo alimentos y bebidas)",128,76,52,-25.082372423987508,0.00010152412853980941,0.0007749675145205452,True,True,-25.469011212490965
3311,Agentes de bolsa y otros servicios financieros,109,37,72,-25.067506960583863,0.08217501272416539,0.16222480960201616,False,False,-49.10778862326281
1346,"Directores, gerentes y administradores de servicios financieros",108,64,44,-25.003008492713775,0.030725267515886445,0.08003659601762349,True,False,-34.353635490878965
9510,Trabajadores ambulantes de servicios,110,88,22,-24.930065145037496,0.3523066661780052,0.4718024944722994,False,False,-18.998329304535144
2132,Agrónomos y profesionales del ámbito forestal y pesquero,346,241,105,-24.51805118624062,0.0077854287445280335,0.02660989824622268,True,True,-20.74959640388756
2161,Arquitectos,382,238,144,-24.353228971012065,0.0002395696903185751,0.0015674702595129628,True,True,-25.999889726488046
4227,"Entrevistadores de investigaciones de mercado, estudios de opinión pública y encuestadores",74,21,53,-23.967398371177573,0.42990425699121726,0.5562038127174506,False,False,-22.598012337054783
1412,"Directores, gerentes y administradores de restaurantes",685,326,359,-23.924595136068483,6.284178525994832e-06,6.541258556603712e-05,True,True,-36.360203305287264
4415,Empleados administrativos de archivos,92,39,53,-23.22553980544958,0.060732736960924516,0.12643451603683376,False,False,-18.987969001644366
5245,Bomberos de gasolineras,357,302,55,-22.98357504413816,0.02227228297138817,0.06375441000559863,True,False,-14.144746585711054
3118,Delineantes y dibujantes técnicos,126,94,32,-22.740982400783206,0.19434343871405702,0.31341301032055674,False,False,-21.91779506047018
5120,Cocineros,3401,703,2698,-22.610741648968258,0.0,0.0,True,True,-25.855424805347305
3215,Laboratoristas dentales o técnicos en prótesis dentales,62,32,30,-22.48884021239813,0.24423509202240812,0.3539863042603257,False,False,-22.959214265229487
8160,"Operadores de máquinas para elaborar alimentos, bebidas y cigarrillos",691,489,202,-22.33356859857568,0.001141817443631954,0.006225623680755177,True,True,-13.630978037492824
5212,Vendedores ambulantes de productos comestibles de consumo inmediato (elaboración propia),431,119,312,-22.289153219491386,0.0048118279282345355,0.01867641687399506,True,True,-25.97229617036273
5321,Trabajadores de los cuidados personales en instituciones,243,49,194,-22.112097309421074,0.025137801796963455,0.0685304358512456,True,False,-21.868056516324287
3422,"Entrenadores, instructores y árbitros de actividades deportivas",272,201,71,-21.660715615487703,0.11886974683050489,0.216041047810997,False,False,-28.449848842423464
2413,Analistas financieros,139,66,73,-21.5492937100731,0.08483336221083149,0.16463423683288483,False,False,-19.46228797246131
4222,Empleados de centros de llamadas de informaciones,318,86,232,-21.505071569034694,0.0046240794626573045,0.01857744205172847,True,True,-15.467418079499451
3411,Técnicos de los servicios jurídicos,230,79,151,-21.49757995225524,0.03110592596318118,0.08003659601762349,True,False,-15.917913118110494
9411,Cocineros de comida rápida,735,258,477,-21.128473024780124,4.947192153315072e-05,0.00040460964396755414,True,True,-17.630808594823545
3434,Chefs,249,160,89,-21.0653240672796,0.005157887335769162,0.019685936664852303,True,True,-32.39014502311488
6210,Trabajadores forestales calificados,615,576,39,-20.816295598382762,0.009435819790602151,0.03001114905622073,True,True,-24.27891126840117
6113,"Agricultores y trabajadores calificados de huertas, invernaderos, viveros y jardines",1885,1492,393,-20.56576843693706,0.00013797303017093476,0.000987369497160752,True,True,-7.845568797400659
9333,Obreros de carga,1001,960,41,-20.41517331501963,0.00690099582299708,0.024692625679161428,True,True,-20.98310812720029
7515,"Catadores, clasificadores y controladores de calidad de alimentos y bebidas",275,102,173,-20.414923369217817,0.0004755395253253081,0.002865751349986725,True,True,-21.775166223818132
5223,"Vendedores y asistentes de venta de tiendas, almacenes y puestos de mercado",6358,2214,4144,-20.40360019971056,0.0,0.0,True,True,-24.41265464672906
1211,"Directores, gerentes y administradores de finanzas",116,59,57,-20.30456826030814,0.0675242797804343,0.1368412395550394,False,False,-19.09694874906329
3351,Inspectores de aduana,54,33,21,-20.253999459850046,0.0840491382278421,0.16450643294167386,False,False,-24.45796919771054
3354,Agentes de servicios de tramitación y entrega de licencias y permisos,51,20,31,-20.0709198563922,0.030803297236848604,0.08003659601762349,True,False,-30.33136981378377
4214,Cobradores,189,53,136,-20.03255923353391,0.01777142755940897,0.05217508860390582,True,False,-27.021868167224927
5242,Promotores de tiendas,140,30,110,-19.06940691456811,0.10885141043375857,0.20265831698642853,False,False,-9.535821576171276
3512,Técnicos en asistencia al usuario de tecnología de la información y las comunicaciones,115,92,23,-18.972902077993037,0.1555408338328288,0.26190331579204257,False,False,-26.55763470818956
3344,Secretarios médicos,575,63,512,-18.958367029393187,0.0047967364538188395,0.01867641687399506,True,True,-18.245513717074136
2143,Ingenieros mediambientales,111,66,45,-18.914788629356604,0.11746578772352434,0.21519732310949657,False,False,-27.33199295303428
